Bed_ID,Department_ID,Ward,Bed_Type,Bed_Status
B110,D02,General Ward,Standard,Available
B111,D06,General Ward,Standard,Available
B112,D07,private room,Standard,Available
B113,D03,General Ward,Electric,Available
B114,D03,General Ward,Electric,Available
B115,D07,General Ward,Standard,Occupied
B116,D02,ICU,ICU Bed,Available
B117,D04,General Ward,Standard,Occupied
B118,D01,Private Room,Standard,Available
B119,D06,General Ward,Electric,Available
B120,D01,General Ward,ICU Bed,Available
B121,D08,General Ward,Electric,Available
B122,D07,General Ward,Electric,Available
B123,D04,General Ward,Standard,Available
B124,D06,General Ward,Electric,Occupied
B125,D07,private room,Standard,Available
B126,D02,General Ward,ICU Bed,Available
B127,D03,General Ward,Standard,Available
B128,D01,General Ward,Electric,Occupied
B129,D05,General Ward,Standard,Available
B130,D05,General Ward,Electric,Available
B131,D04,General Ward,Standard,Occupied
B132,D02,General Ward,Electric,Occupied
B133,D08,Private Room,Standard,Available
B134,D01,Private Room,Standard,Occupied
B135,D02,General Ward,Standard,Available
B136,D01,General Ward,Standard,Available
B137,D04,ICU,ICU Bed,Occupied
B138,D04,General Ward,Standard,Available
B139,D08,General Ward,ICU Bed,Available
B140,D05,General Ward,Standard,Available
B141,D02,ICU,Standard,Available
B142,D06,ICU,Electric,Occupied
B143,D05,General Ward,Electric,Available
B144,D02,General Ward,Standard,Available
B145,D05,General Ward,Standard,Available
B146,D06,ICU,Electric,Available
B147,D03,General Ward,Standard,Available
B148,D03,General Ward,ICU Bed,Available
B149,D08,Private Room,ICU Bed,Occupied
B150,D03,General Ward,Electric,Available
B151,D03,ICU,Standard,Available
B152,D07,General Ward,Electric,Available
B153,D01,General Ward,Standard,Occupied
B154,D07,General Ward,Standard,Available
B155,D07, ICU ,Standard,Available
B156,D08,Private Room,Standard,Available
B157,D07,Private Room,ICU Bed,Available
B158,D03,General Ward,Electric,Available
B159,D06,ICU,Electric,Available
B160,D08,General Ward,Standard,Occupied
B161,D08,General Ward,Standard,Available
B162,D04,Private Room,Standard,Occupied
B163,D08,General Ward,ICU Bed,Available
B164,D04,General Ward,Standard,Occupied
B165,D08,General Ward,ICU Bed,Available
B166,D01,General Ward,Standard,Available
B167,D03,General Ward,Standard,Available
B168,D08,General Ward,Electric,Available
B169,D03,General Ward,Standard,Available
B170,D03,Private Room,ICU Bed,Available
B171,D05,Private Room,ICU Bed,Occupied
B172,D08,General Ward,Standard,Occupied
B173,D02,General Ward,Standard,Available
B174,D05,General Ward,Standard,Available
B175,D02,General Ward,ICU Bed,Available
B176,D03,General Ward,Standard,Available
B177,D03,ICU,Electric,Available
B178,D05,General Ward,Electric,Occupied
B179,D05,General Ward,Electric,Available
B180,D02,General Ward,Standard,Available
B181,D04,General Ward,Electric,Available
B182,D02,Private Room,ICU Bed,Available
B183,D05,Private Room,Standard,Available
B184,D06,General Ward,Standard,Available
B185,D05,Private Room,ICU Bed,Available
B186,D06,General Ward,Standard,Available
B187,D01,Private Room,ICU Bed,Available
B188,D05,Private Room,Standard,Occupied
B189,D01,general ward,Standard,Available
B190,D04,General Ward,ICU Bed,Occupied
B191,D02,General Ward,Standard,Available
B192,D06,General Ward,Standard,Available
B193,D02, ICU ,Standard,Available
B194,D01,General Ward,Standard,Available
B195,D06,General Ward,Standard,Occupied
B196,D02,Private Room,Standard,Available
B197,D05,Private Room,ICU Bed,Available
B198,D03,General Ward,Standard,Available
B199,D01, General Ward ,Electric,Available
B200,D02,General Ward,Standard,Occupied
B201,D01,general ward,Electric,Available
B202,D07,Private Room,Standard,Available
B203,D01,General Ward,ICU Bed,Available
B204,D06,General Ward,Standard,Available
B205,D07,General Ward,Standard,Available
B206,D08,General Ward,Standard,Available
B207,D06,ICU,Standard,Available
B208,D03, Private Room ,Standard,Available
B209,D07,general ward,Standard,Available
B210,D08,general ward,Electric,Available
B211,D05, General Ward ,Standard,Available
B212,D01,Private Room,Standard,Available
B213,D02,private room,Electric,Available
B214,D04,General Ward,Electric,Occupied
B215,D01,ICU,Standard,Available
B216,D08,ICU,Standard,Occupied
B217,D01,General Ward,Standard,Available
B218,D03,Private Room,Electric,Available
B219,D05,General Ward,Electric,Available
B220,D04,General Ward,Standard,Available
B221,D07,general ward,Electric,Available
B222,D07,General Ward,Electric,Available
B223,D07,General Ward,Standard,Occupied
B224,D08,ICU,ICU Bed,Available
B225,D06,General Ward,Standard,Available
B226,D06,ICU,Standard,Available
B227,D02,general ward,Standard,Available
B228,D04,General Ward,Standard,Available
B229,D07,General Ward,Standard,Available
B230,D06, General Ward ,ICU Bed,Available
B231,D08,icu,Standard,Available
B232,D02,General Ward,Standard,Available
B233,D05,General Ward,Standard,Available
B234,D02,general ward,ICU Bed,Available
B235,D06,ICU,Standard,Available
B236,D03,Private Room,Standard,Available
B237,D08,ICU,Standard,Available
B238,D03,General Ward,Standard,Available
B239,D07,general ward,ICU Bed,Available
B240,D03,General Ward,ICU Bed,Available
B241,D07,General Ward,Standard,Available
B242,D07,General Ward,ICU Bed,Available
B243,D06,General Ward,Electric,Available
B244,D03,General Ward,ICU Bed,Available
B245,D07,General Ward,Standard,Available
B246,D04,Private Room,Standard,Available
B247,D05,General Ward,Standard,Available
B248,D02,General Ward,Electric,Available
B249,D02,ICU,Standard,Available
B250,D06,General Ward,Standard,Available
B251,D03,ICU,Standard,Available
B252,D03,General Ward,Electric,Available
B253,D07,General Ward,Standard,Available
B254,D08,private room,Electric,Available
B255,D01,private room,ICU Bed,Available
B256,D07,ICU,Standard,Available
B257,D05,General Ward,Electric,Occupied
B258,D04,General Ward,Standard,Available
B259,D02,General Ward,ICU Bed,Available
B260,D07,general ward,Standard,Available
B261,D01,Private Room,Electric,Available
B262,D01,General Ward,Electric,Available
B263,D07,private room,ICU Bed,Available
B264,D06,General Ward,Electric,Occupied
B265,D02,General Ward,Standard,Occupied
B266,D06,General Ward,Electric,Available
B267,D04,Private Room,ICU Bed,Available
B268,D01,ICU,Standard,Available
B269,D01,Private Room,Standard,Available
B270,D05,ICU,ICU Bed,Occupied
B271,D04,ICU,Electric,Available
B272,D01,Private Room,Electric,Available
B273,D04,General Ward,Standard,Occupied
B274,D02,General Ward,Electric,Available
B275,D03,general ward,Standard,Available
B276,D01,Private Room,Electric,Available
B277,D05,Private Room,Standard,Available
B278,D02,General Ward,Electric,Available
B279,D07,ICU,ICU Bed,Occupied
B280,D04,Private Room,Standard,Available
B281,D07,general ward,ICU Bed,Available
B282,D06,General Ward,Standard,Occupied
B283,D02, Private Room ,ICU Bed,Available
B284,D07,General Ward,Electric,Occupied
B285,D08,ICU,Standard,Available
B286,D08,General Ward,Electric,Available
B287,D01,Private Room,ICU Bed,Available
B288,D04,Private Room,Standard,Available
B289,D03,Private Room,Standard,Occupied
B290,D02,General Ward,Electric,Occupied
B291,D01,private room,Electric,Occupied
B292,D05,Private Room,Electric,Available
B293,D06,General Ward,Electric,Available
B294,D04,Private Room,Standard,Occupied
B295,D02,General Ward,Electric,Occupied
B296,D08,General Ward,Standard,Available
B297,D02,General Ward,Standard,Available
B298,D03,General Ward,Standard,Available
B299,D08,general ward,Standard,Occupied
B300,D03,ICU,Standard,Occupied
B301,D05,General Ward,Standard,Available
B302,D06,ICU,Electric,Available
B303,D05,General Ward,Standard,Occupied
B304,D01,General Ward,Standard,Available
B305,D01,General Ward,Standard,Available
B306,D05,Private Room,Standard,Available
B307,D06,General Ward,Standard,Available
B308,D05,ICU,Standard,Available
B309,D06,Private Room,Electric,Occupied
B310,D06,ICU,Electric,Available
B311,D07,general ward,Electric,Available
B312,D08,General Ward,Standard,Available
B313,D04,Private Room,Standard,Occupied
B314,D06,General Ward,ICU Bed,Available
B315,D03,Private Room,Standard,Available
B316,D06,General Ward,Standard,Available
B317,D06,private room,Standard,Occupied
B318,D06,Private Room,Standard,Available
B319,D07,Private Room,Standard,Available
B320,D08,General Ward,Standard,Available
B321,D07,Private Room,Standard,Available
B322,D01,General Ward,Standard,Available
B323,D07,General Ward,Electric,Available
B324,D03,ICU,Electric,Available
B325,D03,Private Room,Electric,Available
B326,D07,Private Room,Electric,Available
B327,D08, Private Room ,ICU Bed,Occupied
B328,D05, General Ward ,Standard,Occupied
B329,D04,General Ward,Standard,Available
B330,D08,ICU,Standard,Available
B331,D07,General Ward,Electric,Available
B332,D06,General Ward,ICU Bed,Available
B333,D02,General Ward,Standard,Available
B334,D04,General Ward,ICU Bed,Available
B335,D04,General Ward,Standard,Occupied
B336,D03,General Ward,ICU Bed,Available
B337,D04,General Ward,Standard,Available
B338,D07,General Ward,Standard,Available
B339,D06,Private Room,Standard,Available
B340,D06,General Ward,Standard,Available
B341,D01, General Ward ,Standard,Available
B342,D06,ICU,Standard,Occupied
B343,D08,General Ward,Electric,Available
B344,D06,Private Room,Standard,Available
B345,D03,Private Room,Standard,Available
B346,D06,general ward,Electric,Available
B347,D01,General Ward,Electric,Available
B348,D02,Private Room,Standard,Available
B349,D07,Private Room,Standard,Available
B350,D03,General Ward,Standard,Occupied
B351,D08,ICU,Standard,Available
B352,D02,General Ward,Electric,Available
B353,D03,Private Room,Standard,Available
B354,D05,General Ward,Standard,Available
B355,D04,private room,Electric,Available
B356,D05,ICU,Standard,Available
B357,D06,icu,Standard,Available
B358,D02,General Ward,Standard,Available
B359,D06,General Ward,ICU Bed,Occupied
B360,D04,General Ward,Standard,Available
B361,D03,General Ward,Electric,Occupied
B362,D04,General Ward,Standard,Available
B363,D01,Private Room,Standard,Available
B364,D04,General Ward,Electric,Available
B365,D01,General Ward,ICU Bed,Available
B366,D04,Private Room,Electric,Available
B367,D07,private room,Electric,Occupied
B368,D01,Private Room,ICU Bed,Available
B369,D02,Private Room,Standard,Available
B370,D06,General Ward,Standard,Available
B371,D08,General Ward,Electric,Occupied
B372,D06,Private Room,Standard,Available
B373,D05,ICU,Electric,Available
B374,D06,General Ward,ICU Bed,Available
B375,D03,private room,Standard,Available
B376,D07,general ward,Standard,Occupied
B377,D04,General Ward,Electric,Occupied
B378,D05,general ward,Standard,Available
B379,D03,General Ward,Electric,Available
B380,D03,General Ward,Standard,Available
B381,D01,General Ward,Electric,Available
B382,D06,Private Room,Standard,Available
B383,D02,General Ward,Electric,Available
B384,D08,General Ward,Standard,Available
B385,D02,private room,Standard,Available
B386,D05,Private Room,Standard,Available
B387,D07,Private Room,Electric,Available
B388,D02,Private Room,ICU Bed,Available
B389,D04,ICU,Standard,Available
B390,D02,General Ward,Standard,Available
B391,D05,General Ward,Standard,Available
B392,D08,General Ward,Electric,Occupied
B393,D02,General Ward,Electric,Occupied
B394,D04,General Ward,Standard,Available
B395,D01,ICU,Standard,Available
B396,D07,General Ward,Standard,Available
B397,D05,General Ward,Standard,Available
B398,D01,General Ward,Standard,Available
B399,D01,ICU,ICU Bed,Available
B400,D01,general ward,Standard,Available
B401,D03,Private Room,Electric,Available
B402,D07,General Ward,Standard,Available
B403,D08,General Ward,Standard,Occupied
B404,D06,General Ward,Electric,Available
B405,D07,Private Room,Electric,Occupied
B406,D03,general ward,ICU Bed,Available
B407,D06,ICU,Standard,Available
B408,D07,General Ward,Standard,Available
B409,D01,General Ward,Electric,Available
B410,D05,Private Room,Standard,Available
B411,D06,Private Room,Standard,Available
B412,D04,ICU,Standard,Occupied
B413,D04,private room,Standard,Occupied
B414,D02,Private Room,ICU Bed,Available
B415,D06,ICU,Standard,Occupied
B416,D05,Private Room,Standard,Available
B417,D08,ICU,Standard,Available
B418,D03,ICU,Standard,Available
B419,D01,icu,Standard,Available
B420,D02,Private Room,Standard,Available
B421,D04,general ward,Standard,Occupied
B422,D03, Private Room ,Electric,Occupied
B423,D03,Private Room,Standard,Available
B424,D01,General Ward,Standard,Occupied
B425,D08,Private Room,ICU Bed,Available
B426,D08,General Ward,Electric,Available
B427,D06, General Ward ,Standard,Available
B428,D04,ICU,Standard,Available
B429,D08,General Ward,Standard,Occupied
B430,D05,Private Room,Electric,Occupied
B431,D08,Private Room,ICU Bed,Occupied
B432,D03,General Ward,Electric,Available
B433,D01,general ward,Standard,Occupied
B434,D05,General Ward,Electric,Available
B435,D06,ICU,Standard,Available
B436,D04,Private Room,Standard,Available
B437,D06, ICU ,Standard,Available
B438,D03, General Ward ,ICU Bed,Available
B439,D05,ICU,Standard,Available
B440,D05,General Ward,Electric,Occupied
B441,D05,Private Room,Standard,Available
B442,D03,General Ward,Standard,Available
B443,D03,Private Room,Standard,Available
B444,D06,General Ward,Standard,Available
B445,D02,Private Room,Electric,Occupied
B446,D06,General Ward,Standard,Available
B447,D04, ICU ,Electric,Available
B448,D01,private room,Electric,Available
B449,D05,General Ward,ICU Bed,Available
B450,D02, Private Room ,Standard,Available
